enemy_pos_y,player_pos_y,ball_pos_y,successful
230.0,0,310.0,1
190.0,430.0,430.0,0
190.0,390.0,430.0,0
380.0,410.0,370.0,1
420.0,210.0,110.0,0
380.0,400.0,370.0,1
420.0,160.0,110.0,0
60.0,160.0,50.0,1
60.0,200.0,50.0,1
260.0,50.0,270.0,1
380.0,390.0,410.0,1
60.0,180.0,90.0,1
260.0,50.0,230.0,1
380.0,430.0,370.0,1
60.0,210.0,50.0,1
260.0,20.0,270.0,1
380.0,400.0,410.0,1
60.0,170.0,90.0,1
260.0,10.0,230.0,1
60.0,190.0,50.0,1
260.0,30.0,270.0,1
380.0,420.0,410.0,1
60.0,190.0,90.0,1
380.0,390.0,450.0,1
60.0,240.0,130.0,1
260.0,10.0,190.0,1
60.0,300.0,450.0,0
420.0,150.0,110.0,0
380.0,420.0,370.0,1
380.0,390.0,370.0,1
260.0,60.0,270.0,1
400.0,380.0,410.0,1
60.0,220.0,90.0,1
400.0,370.0,450.0,1
60.0,280.0,130.0,1
60.0,290.0,450.0,0
230.0,0,310.0,1
380.0,400.0,370.0,1
